word,stem,onset,offset,word_freq
discouraged,discouraged,84.021,84.791,7.403
by,by,84.791,84.961,5954.5
the,the,84.961,85.045,67225
failure,failure,85.045,85.531,93.48
of,of,85.531,85.646,39205
my,my,85.646,85.818,1370.3
drawing,drawing,85.818,86.261,59.03
number,number,86.261,86.61,533.87
one,one,86.61,87.004,2720.8
and,and,87.004,87.201,28654
of,of,87.201,87.321,39205
my,my,87.321,87.534,1370.3
drawing,drawing,87.534,87.912,59.03
number,number,87.912,88.191,533.87
two,two,88.191,88.61,1309.2
grownups,grownups,89.054,89.746,0.31073
never,never,89.746,90.069,465.17
understand,understand,90.069,90.686,141
anything,anything,90.686,91.049,159.32
by,by,91.049,91.259,5954.5
themselves,themselves,91.259,92.309,274.71
and,and,92.309,92.439,28654
it,it,92.439,92.549,7267.4
s,is,92.549,92.669,10615
tiresome,tiresome,92.669,93.359,1.9221
for,for,93.359,93.499,8286.8
children,children,93.499,93.979,426.32
to,to,93.979,94.119,24495
always,always,94.119,94.509,366.31
explain,explain,94.509,95.264,78.241
things,things,95.264,95.679,331.07
for,for,95.679,95.889,8286.8
them,them,95.889,96.026,1518.8
again,again,96.026,96.309,412.97
and,and,96.309,96.459,28654
again,again,96.459,96.912,412.97
so,so,97.465,97.85,1834.7
i,i,97.85,97.98,4918.5
had,had,97.98,98.2,3312.1
to,to,98.2,98.35,24495
choose,choose,98.35,98.668,61.904
another,another,98.668,98.94,563.02
profession,profession,98.94,99.805,31.959
and,and,99.805,99.94,28654
i,i,99.94,100.071,4918.5
learned,learned,100.071,100.33,90.888
to,to,100.33,100.4,24495
fly,fly,100.4,100.7,31.432
airplanes,airplanes,100.7,101.374,2.9638
i,i,102.267,102.402,4918.5
flew,flew,102.402,102.763,13.707
a,a,102.763,102.898,19384
little,little,102.898,103.23,560.69
in,in,103.23,103.403,21385
many,many,103.403,103.682,927.62
places,places,103.682,104.192,109.07
around,around,104.192,104.516,286.09
the,the,104.516,104.641,67225
world,world,104.641,105.332,640.47
and,and,105.332,105.522,28654
geography,geography,105.522,106.072,17.853
it,it,106.072,106.192,7267.4
s,is,106.192,106.292,10615
TRUE,true,106.292,106.595,265.75
has,has,106.595,106.752,2066.4
served,served,106.752,107.082,75.435
me,me,107.082,107.222,1037.6
well,well,107.222,107.53,855.12
i,i,108.174,108.308,4918.5
could,could,108.308,108.499,1122.9
recognize,recognize,108.499,109.159,44.752
at,at,109.159,109.259,4321.7
first,first,109.259,109.779,1168.8
glance,glance,109.779,110.299,21.129
china,china,110.299,110.769,104.27
from,from,110.769,110.951,4392.3
arizona,arizona,110.951,111.568,12.467
it,it,111.893,112.005,7267.4
s,is,112.005,112.067,10615
very,very,112.067,112.428,945.6
useful,useful,112.428,112.838,99.857
if,if,112.838,112.987,1981.4
you,you,112.987,113.048,2959.7
get,get,113.048,113.215,403.02
lost,lost,113.215,113.558,152.85
at,at,113.558,113.657,4321.7
night,night,113.657,114.057,225.12
i,i,114.725,115.19,4918.5
have,have,115.19,115.419,3516.4
had,had,115.419,115.64,3312.1
during,during,115.64,115.98,567.42
my,my,115.98,116.163,1370.3
life,life,116.163,116.814,768.84
a,a,116.814,117,19384
lot,lot,117,117.227,92.29
of,of,117.227,117.335,39205
contact,contact,117.335,117.94,92.293
with,with,117.94,118.07,6561.8
many,many,118.07,118.44,927.62
persons,persons,118.44,118.895,147.81
of,of,118.895,118.983,39205
consequence,consequence,118.983,119.733,55.178
i,i,120.152,120.474,4918.5
have,have,120.474,120.64,3516.4
lived,lived,120.64,121.04,94.352
a,a,121.04,121.1,19384
lot,lot,121.1,121.627,92.29
amongst,amongst,121.627,122.057,30.197
the,the,122.057,122.117,67225
grownups,grownups,122.117,122.806,0.31073
i,i,123.19,123.264,4918.5
have,have,123.264,123.355,3516.4
seen,seen,123.355,123.665,294.73
them,them,123.665,123.895,1518.8
from,from,123.895,124.085,4392.3
close,close,124.085,124.462,182.35
up,up,124.462,124.67,1234.9
it,it,125.363,125.488,7267.4
hasnt,has,125.488,125.673,2066.4
,not,125.673,125.858,5726.1
much,much,125.858,126.15,761.24
improved,improved,126.15,126.599,45.415
my,my,126.599,126.758,1370.3
opinion,opinion,126.758,127.175,125.87
of,of,127.175,127.319,39205
them,them,127.319,127.528,1518.8
whenever,whenever,128.361,129.116,42.597
i,i,129.116,129.277,4918.5
met,met,129.277,129.656,114.79
one,one,129.656,129.852,2720.8
of,of,129.852,129.946,39205
them,them,129.946,130.146,1518.8
that,that,130.146,130.326,10130
seemed,seemed,130.326,130.736,172.62
a,a,130.736,130.796,19384
bit,bit,130.796,131.126,68.066
more,more,131.126,131.456,1958.9
clear,clear,131.456,131.777,196.81
sighted,sighted,131.777,132.374,4.851
i,i,132.749,132.898,4918.5
tried,tried,132.898,133.184,104.35
the,the,133.184,133.293,67225
experiment,experiment,133.293,133.953,55.02
of,of,133.953,134.013,39205
showing,showing,134.013,134.404,64.213
them,them,134.404,134.573,1518.8
my,my,134.573,134.777,1370.3
drawing,drawing,134.777,135.154,59.03
number,number,135.154,135.472,533.87
one,one,135.472,135.823,2720.8
that,that,135.823,135.949,10130
i,i,135.949,136.054,4918.5
ve,have,136.054,136.149,3516.4
always,always,136.149,136.524,366.31
kept,kept,136.524,136.958,129.31
i,i,137.526,137.663,4918.5
wanted,wanted,137.663,137.991,136.16
to,to,137.991,138.117,24495
know,know,138.117,138.321,513.45
if,if,138.321,138.441,1981.4
they,they,138.441,138.54,3117.2
were,were,138.54,138.689,2874.6
really,really,138.689,139.136,186.65
a,a,139.136,139.201,19384
person,person,139.201,139.621,294.18
of,of,139.621,139.721,39205
TRUE,true,139.721,139.983,265.75
understanding,understanding,139.983,140.736,126.68
but,but,141.444,141.579,3535.3
they,they,141.579,141.707,3117.2
always,always,141.707,142.159,366.31
responded,responded,142.159,142.874,19.379
it,it,143.322,143.488,7267.4
s,is,143.488,143.565,10615
a,a,143.565,143.629,19384
hat,hat,143.629,144.087,28.734
so,so,145.045,145.22,1834.7
i,i,145.22,145.363,4918.5
would,would,145.363,145.51,1864.7
never,never,145.51,145.841,465.17
speak,speak,145.841,146.19,105.68
to,to,146.19,146.31,24495
them,them,146.31,146.47,1518.8
of,of,146.47,146.66,39205
boa,boa,146.66,146.93,0.80349
constrictors,constrictors,146.93,147.936,0.11653
nor,nor,147.936,148.15,219.57
of,of,148.15,148.27,39205
primeval,primeval,148.27,148.95,2.1897
forests,forests,148.95,149.786,22.9
nor,nor,149.786,150,219.57
of,of,150,150.09,39205
the,the,150.09,150.198,67225
stars,stars,150.198,150.833,38.881
i,i,151.531,151.626,4918.5
put,put,151.626,151.846,297.14
myself,myself,151.846,152.283,114.56
at,at,152.283,152.416,4321.7
their,their,152.416,152.643,2725.8
level,level,152.643,153.056,275.39
i,i,153.44,153.835,4918.5
talked,talked,153.835,154.125,33.137
to,to,154.125,154.225,24495
them,them,154.225,154.38,1518.8
about,about,154.38,154.708,1355.8
bridge,bridge,154.708,155.334,50.43
golf,golf,155.573,156.028,10.167
politics,politics,156.282,156.957,94.09
and,and,156.957,157.199,28654
neckties,neckties,157.199,157.892,0.22373
and,and,158.57,158.675,28654
the,the,158.675,158.756,67225
grownup,grownup,158.756,159.335,0.20515
was,was,159.335,159.615,6966.8
glad,glad,159.615,160.045,34.208
to,to,160.045,160.175,24495
know,know,160.175,160.451,513.45
such,such,160.451,160.675,1392.8
a,a,160.675,160.738,19384
sensible,sensible,160.738,161.485,16.911
man,man,161.485,161.889,771.06
so,so,163.261,163.425,1834.7
i,i,163.425,163.606,4918.5
lived,lived,163.606,163.895,94.352
alone,alone,163.895,164.486,155.59
without,without,164.486,164.925,589.46
anyone,anyone,164.925,165.356,66.747
i,i,165.356,165.465,4918.5
could,could,165.465,165.696,1122.9
really,really,165.696,166.025,186.65
talk,talk,166.025,166.375,106.34
to,to,166.375,166.629,24495
until,until,167.038,167.273,337.97
a,a,167.273,167.373,19384
breakdown,breakdown,167.373,168.033,12.528
in,in,168.033,168.113,21385
the,the,168.113,168.193,67225
sahara,sahara,168.193,168.683,2.7584
desert,desert,168.683,169.163,29.967
six,six,169.163,169.463,182.9
years,years,169.463,169.713,713.11
ago,ago,169.713,170.017,92.877
something,something,170.856,171.231,282.71
had,had,171.231,171.411,3312.1
broken,broken,171.411,171.821,65.517
in,in,171.821,171.911,21385
my,my,171.911,172.081,1370.3
engine,engine,172.081,172.58,40.622
and,and,173.029,173.204,28654
as,as,173.204,173.344,7217.4
i,i,173.344,173.484,4918.5
had,had,173.484,173.764,3312.1
with,with,173.764,173.944,6561.8
me,me,173.944,174.114,1037.6
neither,neither,174.114,174.514,117.64
a,a,174.514,174.544,19384
mechanic,mechanic,174.544,175.204,4.1538
nor,nor,175.204,175.424,219.57
any,any,175.424,175.644,1245.4
passengers,passengers,175.644,176.433,15.839
i,i,176.787,176.942,4918.5
readied,readied,176.942,177.322,0.5593
myself,myself,177.322,177.802,114.56
to,to,177.802,177.912,24495
try,try,177.912,178.262,108.91
and,and,178.262,178.412,28654
carry,carry,178.412,178.952,85.574
out,out,178.952,179.302,1327.1
all,all,179.302,179.442,2611.6
alone,alone,179.442,179.992,155.59
the,the,179.992,180.082,67225
difficult,difficult,180.082,180.622,165.32
repairs,repairs,180.622,181.221,9.1636
for,for,182.039,182.124,8286.8
me,me,182.124,182.264,1037.6
it,it,182.264,182.524,7267.4
was,was,182.524,182.664,6966.8
a,a,182.664,182.704,19384
matter,matter,182.704,183.054,250.72
of,of,183.054,183.164,39205
life,life,183.164,183.444,768.84
or,or,183.444,183.564,4643.6
death,death,183.564,184.092,271.24
i,i,184.611,184.656,4918.5
had,had,184.656,184.846,3312.1
hardly,hardly,184.846,185.276,70.417
enough,enough,185.276,185.626,239.22
water,water,185.626,185.886,449.89
to,to,185.886,186.006,24495
drink,drink,186.006,186.376,42.675
for,for,186.376,186.526,8286.8
a,a,186.526,186.586,19384
week,week,186.586,187,107.28
the,the,188.148,188.243,67225
first,first,188.243,188.623,1168.8
night,night,188.623,188.893,225.12
i,i,188.893,188.993,4918.5
went,went,188.993,189.213,281.29
to,to,189.213,189.273,24495
sleep,sleep,189.273,189.593,64.429
on,on,189.593,189.713,5817
the,the,189.713,189.783,67225
sand,sand,189.783,190.332,42.771
a,a,190.532,190.587,19384
thousand,thousand,190.587,191.157,102.78
miles,miles,191.157,191.607,122.22
from,from,191.607,191.767,4392.3
any,any,191.767,192.057,1245.4
human,human,192.057,192.417,353.27
habitation,habitation,192.417,193.171,3.7893
i,i,193.62,194.015,4918.5
was,was,194.015,194.185,6966.8
more,more,194.185,194.445,1958.9
isolated,isolated,194.445,195.145,36.359
than,than,195.145,195.275,1500.3
a,a,195.275,195.345,19384
shipwrecked,shipwrecked,195.345,195.985,1.0352
sailor,sailor,195.985,196.349,6.592
on,on,196.349,196.525,5817
a,a,196.525,196.71,19384
raft,raft,196.71,197.085,3.3583
in,in,197.085,197.175,21385
the,the,197.175,197.255,67225
middle,middle,197.255,197.495,157.76
of,of,197.495,197.595,39205
the,the,197.595,197.785,67225
ocean,ocean,197.785,198.164,41.657
so,so,198.772,198.917,1834.7
you,you,198.917,199.067,2959.7
can,can,199.067,199.237,2108.5
imagine,imagine,199.237,199.677,42.092
my,my,199.677,199.817,1370.3
surprise,surprise,199.817,200.662,35.719
when,when,200.926,201.091,1924.1
at,at,201.091,201.211,4321.7
daybreak,daybreak,201.211,202.201,2.2703
a,a,202.201,202.251,19384
funny,funny,202.251,202.611,12.639
little,little,202.611,202.941,560.69
voice,voice,202.941,203.461,133.98
woke,woke,203.461,203.681,6.4131
me,me,203.681,203.801,1037.6
up,up,203.801,203.985,1234.9
it,it,204.758,204.933,7267.4
said,said,204.933,205.248,959.68
please,please,205.936,206.466,57.348
draw,draw,207.02,207.195,58.2
me,me,207.195,207.325,1037.6
a,a,207.325,207.405,19384
sheep,sheep,207.405,208.065,28.602
what,what,208.623,209.028,1547.8
draw,draw,209.901,210.056,58.2
me,me,210.056,210.246,1037.6
a,a,210.246,210.286,19384
sheep,sheep,210.286,210.981,28.602
i,i,212.008,212.123,4918.5
jumped,jumped,212.123,212.473,12.795
to,to,212.473,212.553,24495
my,my,212.553,212.753,1370.3
feet,feet,212.753,213.033,170.1
as,as,213.033,213.143,7217.4
if,if,213.143,213.273,1981.4
i,i,213.273,213.373,4918.5
d,had,213.373,213.453,3312.1
been,been,213.453,213.583,2049.8
struck,struck,213.583,213.993,41.072
by,by,213.993,214.183,5954.5
lightning,lightning,214.183,214.702,11.573
i,i,215.037,215.122,4918.5
rubbed,rubbed,215.122,215.432,6.9558
my,my,215.432,215.642,1370.3
eyes,eyes,215.642,216.081,218.05
i,i,216.66,216.725,4918.5
took,took,216.725,216.925,284.28
a,a,216.925,216.965,19384
good,good,216.965,217.375,645.62
look,look,217.375,217.645,249.54
around,around,217.645,218.095,286.09
me,me,218.095,218.269,1037.6
and,and,218.788,219.013,28654
i,i,219.013,219.123,4918.5
saw,saw,219.123,219.683,204.28
a,a,219.683,219.833,19384
quite,quite,219.833,220.243,219.61
extraordinary,extraordinary,220.243,221.183,34.314
little,little,221.183,221.403,560.69
man,man,221.403,221.872,771.06
who,who,222.117,222.182,1854.3
was,was,222.182,222.342,6966.8
examining,examining,222.342,222.982,18.121
me,me,222.982,223.102,1037.6
seriously,seriously,223.102,223.907,35.773
here,here,224.735,224.9,547.34
is,is,224.9,225.01,10615
the,the,225.01,225.09,67225
best,best,225.09,225.4,303.25
portrait,portrait,225.4,225.92,24.64
that,that,225.92,226.16,10130
later,later,226.16,226.61,341.11
i,i,226.61,226.72,4918.5
managed,managed,226.72,227.13,41.666
to,to,227.13,227.2,24495
do,do,227.2,227.39,1413.7
of,of,227.39,227.5,39205
him,him,227.5,227.763,1494.9
but,but,228.292,228.787,3535.3
my,my,228.787,229.087,1370.3
drawing,drawing,229.087,229.427,59.03
of,of,229.427,229.537,39205
course,course,229.537,230.107,338.36
is,is,230.107,230.317,10615
much,much,230.317,230.607,761.24
less,less,230.607,230.927,427.16
charming,charming,230.927,231.407,13.833
than,than,231.407,231.557,1500.3
its,its,231.557,231.707,1733.8
model,model,231.707,232.081,196.76
it,it,232.549,232.634,7267.4
s,is,232.634,232.674,10615
not,not,232.674,232.814,5726.1
my,my,232.814,233.004,1370.3
fault,fault,233.004,233.399,32.193
i,i,233.803,233.888,4918.5
was,was,233.888,234.018,6966.8
discouraged,discouraged,234.018,234.708,7.403
in,in,234.708,234.798,21385
my,my,234.798,234.948,1370.3
career,career,234.948,235.348,61.052
as,as,235.348,235.468,7217.4
a,a,235.468,235.508,19384
painter,painter,235.508,235.928,16.541
by,by,235.928,236.058,5954.5
the,the,236.058,236.138,67225
grownups,grownups,236.138,236.658,0.31073
at,at,236.658,236.738,4321.7
the,the,236.738,236.888,67225
age,age,236.888,237.098,263.4
of,of,237.098,237.168,39205
six,six,237.168,237.642,182.9
and,and,238.071,238.166,28654
i,i,238.166,238.266,4918.5
hadn,had,238.266,238.586,3312.1
t,not,238.586,238.616,5726.1
learned,learned,238.616,238.906,90.888
to,to,238.906,238.976,24495
draw,draw,238.976,239.206,58.2
anything,anything,239.206,239.626,159.32
except,except,239.626,240.166,147.78
boa,boa,240.166,240.396,0.80349
constrictors,constrictors,240.396,241.196,0.11653
closed,closed,241.196,241.726,74.767
and,and,241.726,241.846,28654
open,open,241.846,242.214,233.29
i,i,243.227,243.602,4918.5
stared,stared,243.602,244.022,17.383
at,at,244.022,244.142,4321.7
this,this,244.142,244.342,4844.1
sudden,sudden,244.342,244.692,40.242
apparition,apparition,244.692,245.472,2.1558
wide,wide,245.472,245.972,114.25
eyed,eyed,245.972,246.252,10.435
with,with,246.252,246.362,6561.8
astonishment,astonishment,246.362,247.125,7.055
remember,remember,247.34,248.065,101.5
that,that,248.065,248.235,10130
i,i,248.235,248.345,4918.5
was,was,248.345,248.545,6966.8
a,a,248.545,248.595,19384
thousand,thousand,248.595,249.235,102.78
miles,miles,249.235,249.695,122.22
from,from,249.695,249.955,4392.3
any,any,249.955,250.275,1245.4
inhabited,inhabited,250.275,250.825,8.3236
region,region,250.825,251.234,126.54
and,and,251.703,251.868,28654
yet,yet,251.868,252.078,377.42
this,this,252.078,252.308,4844.1
little,little,252.308,252.548,560.69
fellow,fellow,252.548,252.948,56.731
seemed,seemed,252.948,253.298,172.62
neither,neither,253.298,253.748,117.64
lost,lost,253.748,254.218,152.85
nor,nor,254.218,254.548,219.57
half,half,254.548,254.868,249.88
dead,dead,254.868,255.068,113.87
with,with,255.068,255.248,6561.8
fatigue,fatigue,255.248,255.771,15.801
nor,nor,256.076,256.241,219.57
starved,starved,256.241,256.891,3.8075
or,or,256.891,257.011,4643.6
dying,dying,257.011,257.431,28.391
of,of,257.431,257.531,39205
thirst,thirst,257.531,257.961,7.7066
or,or,257.961,258.041,4643.6
fear,fear,258.041,258.43,105.12
he,he,259.448,259.583,5204.1
looked,looked,259.583,259.833,174.06
nothing,nothing,259.833,260.333,284.5
like,like,260.333,260.593,898.72
a,a,260.593,260.633,19384
child,child,260.633,261.193,271.59
lost,lost,261.193,261.453,152.85
in,in,261.453,261.553,21385
the,the,261.553,261.663,67225
middle,middle,261.663,261.873,157.76
of,of,261.873,261.993,39205
the,the,261.993,262.063,67225
desert,desert,262.063,262.853,29.967
a,a,262.853,262.883,19384
thousand,thousand,262.883,263.523,102.78
miles,miles,263.523,263.993,122.22
from,from,263.993,264.153,4392.3
any,any,264.153,264.363,1245.4
inhabited,inhabited,264.363,264.983,8.3236
region,region,264.983,265.456,126.54
when,when,266.399,266.524,1924.1
i,i,266.524,266.634,4918.5
finally,finally,266.634,267.064,157.96
managed,managed,267.064,267.464,41.666
to,to,267.464,267.534,24495
speak,speak,267.534,267.954,105.68
i,i,267.954,268.074,4918.5
said,said,268.074,268.413,959.68
what,what,269.486,269.731,1547.8
are,are,269.731,269.771,4685
you,you,269.771,269.921,2959.7
doing,doing,269.921,270.271,138.75
here,here,270.271,270.616,547.34
and,and,271.279,271.414,28654
he,he,271.414,271.514,5204.1
repeated,repeated,271.514,272.204,52.281
very,very,272.204,272.524,945.6
slowly,slowly,272.524,273.139,63.284
as,as,273.488,273.643,7217.4
if,if,273.643,273.763,1981.4
it,it,273.763,273.853,7267.4
was,was,273.853,273.983,6966.8
something,something,273.983,274.473,282.71
very,very,274.473,274.953,945.6
serious,serious,274.953,275.688,97.933
please,please,276.326,277.091,57.348
draw,draw,277.739,278.034,58.2
me,me,278.034,278.334,1037.6
a,a,278.334,278.384,19384
sheep,sheep,278.384,279.089,28.602
when,when,280.615,280.76,1924.1
a,a,280.76,280.81,19384
mystery,mystery,280.81,281.26,24.164
is,is,281.26,281.45,10615
too,too,281.45,281.62,490.98
overpowering,overpowering,281.62,282.541,1.9067
one,one,282.541,282.81,2720.8
dare,dare,282.81,283.161,17.589
not,not,283.161,283.411,5726.1
disobey,disobey,283.411,284.14,1.2021
absurd,absurd,284.813,285.358,13.515
as,as,285.358,285.478,7217.4
it,it,285.478,285.658,7267.4
seemed,seemed,285.658,285.968,172.62
to,to,285.968,286.108,24495
me,me,286.108,286.278,1037.6
a,a,286.278,286.308,19384
thousand,thousand,286.308,286.928,102.78
miles,miles,286.928,287.408,122.22
from,from,287.408,287.598,4392.3
any,any,287.598,287.828,1245.4
human,human,287.828,288.268,353.27
habitation,habitation,288.268,289.068,3.7893
and,and,289.068,289.438,28654
in,in,289.438,289.598,21385
danger,danger,289.598,290.078,65.642
of,of,290.078,290.228,39205
death,death,290.228,290.602,271.24
i,i,291.14,291.276,4918.5
took,took,291.276,291.515,284.28
out,out,291.515,291.706,1327.1
of,of,291.706,291.796,39205
my,my,291.796,291.956,1370.3
pocket,pocket,291.956,292.356,24.876
a,a,292.356,292.406,19384
sheet,sheet,292.406,292.706,39.921
of,of,292.706,292.776,39205
paper,paper,292.776,293.186,171.66
and,and,293.186,293.326,28654
a,a,293.326,293.356,19384
pen,pen,293.356,293.804,21.678
but,but,294.408,294.773,3535.3
then,then,294.773,294.933,1105
i,i,294.933,295.033,4918.5
remembered,remembered,295.033,295.843,40.728
that,that,295.843,296.053,10130
i,i,296.053,296.113,4918.5
had,had,296.113,296.343,3312.1
mainly,mainly,296.343,296.823,54.468
studied,studied,296.823,297.233,59.823
geography,geography,297.233,297.893,17.853
history,history,297.893,298.483,351.68
